              Procedure           Image            Address        Calls Instructions
                 munmap       libc.so.6       7fc8d99fa740            7           35
                 mmap64       libc.so.6       7fc8d99fa680            7          231
                 __sbrk       libc.so.6       7fc8d99f5e80          145         4060
                    brk       libc.so.6       7fc8d99f5e10          145         1740
     __default_morecore       libc.so.6       7fc8d99808c0          145         1015
                realloc       libc.so.6       7fc8d997d6c0       131074     10354846
                  cfree       libc.so.6       7fc8d997d4f0       327695      8520217
          __libc_malloc       libc.so.6       7fc8d997d130       327695     15073935
                  _Znam  libstdc++.so.6       7fc8da494280           13           13
                  _Znwm  libstdc++.so.6       7fc8da4941d0           13          143
                 _ZdaPv  libstdc++.so.6       7fc8da492350           13           13
                 _ZdlPv  libstdc++.so.6       7fc8da492320           13           13
               free@plt  libstdc++.so.6       7fc8da48b3b0           13           13
             _ZdlPv@plt  libstdc++.so.6       7fc8da48acc0           13           13
             malloc@plt  libstdc++.so.6       7fc8da48aaf0           13           13
              _Znwm@plt  libstdc++.so.6       7fc8da48a690           13           13
     __gmpn_invert_limb    libgmp.so.10       7fc8da8044c0       327680     13107200
           __gmpn_copyi    libgmp.so.10       7fc8da804286       458752     12845056
    __gmpn_sbpi1_div_qr    libgmp.so.10       7fc8da7f9c20       327680    414521059
         __gmpn_tdiv_qr    libgmp.so.10       7fc8da7de0f0       655360    160871914
    __gmpn_mul_basecase    libgmp.so.10       7fc8da7d3a00       458752    378667008
             __gmpn_mul    libgmp.so.10       7fc8da7cdcc0       458752     18350080
          __gmpn_rshift    libgmp.so.10       7fc8da7cbc80       327680     48758784
          __gmpn_lshift    libgmp.so.10       7fc8da7cba60      1769472    180617216
        __gmpn_submul_1    libgmp.so.10       7fc8da7cb210      6684765    821177984
        __gmpn_addmul_1    libgmp.so.10       7fc8da7cb100     16384000   5324800000
           __gmpn_sub_n    libgmp.so.10       7fc8da7cab10      1409124    161980374
           __gmpn_add_n    libgmp.so.10       7fc8da7ca670       262427     25384847
_Z9_ntl_gmodP17_ntl_gbigint_bodyS0_PS0_       TestHEAAN             459b30       655360      1966080
_Z9_ntl_gdivP17_ntl_gbigint_bodyS0_PS0_S1_       TestHEAAN             4594a0       655360     97812641
_Z12_ntl_gaddmodP17_ntl_gbigint_bodyS0_S0_PS0_       TestHEAAN             458a10       262144      9175436
_Z20_ntl_quick_accum_endP17_ntl_gbigint_body       TestHEAAN             4562a0       327680      4915200
_Z23_ntl_quick_accum_muladdP17_ntl_gbigint_bodyS0_l       TestHEAAN             456240     16384000    425984000
_Z22_ntl_quick_accum_beginPP17_ntl_gbigint_bodyl       TestHEAAN             4561b0       327680     74055680
_Z33_ntl_general_rem_one_struct_applyP17_ntl_gbigint_bodylP27_ntl_general_rem_one_struct       TestHEAAN             455570     15073280   2939289600
_Z12_ntl_gsubposP17_ntl_gbigint_bodyS0_PS0_       TestHEAAN             4539b0        65635      4069370
_Z9_ntl_gsubP17_ntl_gbigint_bodyS0_PS0_       TestHEAAN             453480       327724     35721916
_Z9_ntl_gaddP17_ntl_gbigint_bodyS0_PS0_       TestHEAAN             4525d0       262144     23592481
_Z12_ntl_grshiftP17_ntl_gbigint_bodylPS0_       TestHEAAN             452160       131072      8912896
_Z13_ntl_gcompareP17_ntl_gbigint_bodyS0_       TestHEAAN             452070       589824     11391817
_Z12_ntl_gnegatePP17_ntl_gbigint_body       TestHEAAN             451eb0       131072       655360
_Z10_ntl_gcopyP17_ntl_gbigint_bodyPS0_       TestHEAAN             450f40       786434    165642725
_Z10_ntl_gfreeP17_ntl_gbigint_body       TestHEAAN             450b40       327682      2949138
_Z15_ntl_gsetlengthPP17_ntl_gbigint_bodyl       TestHEAAN             44ff30       458756     22479056
_ZN6Scheme12multAndEqualER10CiphertextS1_       TestHEAAN             4248d0            1      1868096
_ZN14RingMultiplier8multDNTTEPN3NTL2ZZEPmS3_lRKS1_       TestHEAAN             41da40            5    393272191
_ZN14RingMultiplier11reconstructEPN3NTL2ZZEPmlRKS1_       TestHEAAN             41c130            5    525435398
_ZN14RingMultiplier14addNTTAndEqualEPmS0_l       TestHEAAN             41c080            2     46791927
_ZN14RingMultiplier3CRTEPmPN3NTL2ZZEl       TestHEAAN             41bb30            5    150737145
_ZN14RingMultiplier4INTTEPml       TestHEAAN             41abe0          250   4144203586
_ZN14RingMultiplier3NTTEPml       TestHEAAN             41a970          230   3504624185
_ZN4Ring18rightShiftAndEqualEPN3NTL2ZZEl       TestHEAAN             417c70            2       917532
_ZN4Ring11subAndEqualEPN3NTL2ZZES2_RKS1_       TestHEAAN             416f30            2      2490420
_ZN4Ring11addAndEqualEPN3NTL2ZZES2_RKS1_       TestHEAAN             416e00            2      1179686
_ZN4Ring8multDNTTEPN3NTL2ZZEPmS3_lRKS1_       TestHEAAN             416960            5          135
_ZN4Ring14addNTTAndEqualEPmS0_l       TestHEAAN             4168f0            2           46
_ZN4Ring3CRTEPmPN3NTL2ZZEl       TestHEAAN             4168a0            5          115
_ZN10TestScheme14testProfileInsElllPc       TestHEAAN             406cb0            0            7
        _Z10endProfilei       TestHEAAN             406200          515         2060
      _Z12startProfilei       TestHEAAN             4061f0          516         2064
            realloc@plt       TestHEAAN             404610       131074       131074
             malloc@plt       TestHEAAN             404440       327682       327682
             _ZdaPv@plt       TestHEAAN             404400           13           13
      __gmpn_rshift@plt       TestHEAAN             4043d0       131072       131072
               free@plt       TestHEAAN             4043b0       327682       327682
       __gmpn_add_n@plt       TestHEAAN             404250       163883       163883
     __gmpn_tdiv_qr@plt       TestHEAAN             4040c0       655360       655360
    __gmpn_addmul_1@plt       TestHEAAN             4040a0     16384000     16384000
             memset@plt       TestHEAAN             404010            5            5
       __gmpn_sub_n@plt       TestHEAAN             403f20       491620       491620
               ceil@plt       TestHEAAN             403e10            2            4
              _Znam@plt       TestHEAAN             403dd0           13           13
                   .plt       TestHEAAN             403dc0            1            2
