              Procedure           Image            Address        Calls Instructions
                 munmap       libc.so.6       7f9102bf7740            1            5
                 mmap64       libc.so.6       7f9102bf7680            1           33
                 __sbrk       libc.so.6       7f9102bf2e80         2857        79960
                    brk       libc.so.6       7f9102bf2e10         2853        34236
     __default_morecore       libc.so.6       7f9102b7d8c0         2857        19999
                realloc       libc.so.6       7f9102b7a6c0       524289     41418831
                  cfree       libc.so.6       7f9102b7a4f0      8323626    216414301
          __libc_malloc       libc.so.6       7f9102b7a130      8454704    388916379
  __pthread_setspecific libpthread.so.0       7f9102ece360            2           68
   __pthread_key_create libpthread.so.0       7f9102ece230            2          423
                  frexp       libm.so.6       7f910331fb80           14          322
                   log2       libm.so.6       7f910331f830            3           12
          __log2_finite       libm.so.6       7f91033176d0            3          108
                  _Znam  libstdc++.so.6       7f9103691280          375          375
    _ZnwmRKSt9nothrow_t  libstdc++.so.6       7f9103691230            2           34
                  _Znwm  libstdc++.so.6       7f91036911d0          375         4125
    __cxa_guard_release  libstdc++.so.6       7f9103690fb0            2           30
    __cxa_guard_acquire  libstdc++.so.6       7f9103690e30            2           60
                 _ZdaPv  libstdc++.so.6       7f910368f350          373          373
                 _ZdlPv  libstdc++.so.6       7f910368f320          373          373
               free@plt  libstdc++.so.6       7f91036883b0          373          373
             _ZdlPv@plt  libstdc++.so.6       7f9103687cc0          373          373
             malloc@plt  libstdc++.so.6       7f9103687af0          377          377
              _Znwm@plt  libstdc++.so.6       7f9103687690          375          375
     __gmpn_invert_limb    libgmp.so.10       7f9103a0f4c0      7536647    301465880
           __gmpn_copyi    libgmp.so.10       7f9103a0f286     18022409    481034748
    __gmpn_sbpi1_div_qr    libgmp.so.10       7f9103a04c20      7274500   8632262537
         __gmpn_tdiv_qr    libgmp.so.10       7f91039e90f0     20447239   5489062009
    __gmpn_mul_basecase    libgmp.so.10       7f91039dea00     18284544  11278876672
             __gmpn_mul    libgmp.so.10       7f91039d8cc0     18284544    731381760
        __gmpn_divrem_2    libgmp.so.10       7f91039d7980       131072     15728640
        __gmpn_divrem_1    libgmp.so.10       7f91039d7760       131075      7340428
          __gmpn_rshift    libgmp.so.10       7f91039d6c80     10289203   1330776965
          __gmpn_lshift    libgmp.so.10       7f91039d6a60     57606185   4424867025
        __gmpn_submul_1    libgmp.so.10       7f91039d6210    146666320  16466718120
        __gmpn_addmul_1    libgmp.so.10       7f91039d6100    406650904 126707630944
           __gmpn_mul_1    libgmp.so.10       7f91039d5fe6           20          780
           __gmpn_sub_n    libgmp.so.10       7f91039d5b10     50077514   4580926642
           __gmpn_add_n    libgmp.so.10       7f91039d5670      8277383    665978973
    _Z13_ntl_IsFinitePd       TestHEAAN             468440           28          392
_Z12_ntl_gmulmodP17_ntl_gbigint_bodyS0_S0_PS0_       TestHEAAN             45b950       524288     22020125
_Z9_ntl_gmulP17_ntl_gbigint_bodyS0_PS0_       TestHEAAN             45a0f0       524308     44473218
