              Procedure           Image            Address        Calls Instructions
              __madvise       libc.so.6       7f6858307800            1            5
               mprotect       libc.so.6       7f6858307770        90864       454317
                 munmap       libc.so.6       7f6858307740           35          175
                 mmap64       libc.so.6       7f6858307680           26          852
                 __sbrk       libc.so.6       7f6858302e80         1326        37056
                    brk       libc.so.6       7f6858302e10         1318        15816
     __default_morecore       libc.so.6       7f685828d8c0         1326         9282
                realloc       libc.so.6       7f685828a6c0       655310     54053065
                  cfree       libc.so.6       7f685828a4f0      9173374    249966820
          __libc_malloc       libc.so.6       7f685828a130      9166967    448275606
      __lll_unlock_wake libpthread.so.0       7f68585e02f0          448         4484
        __lll_lock_wait libpthread.so.0       7f68585e0250           48         1008
__pthread_disable_asynccancel libpthread.so.0       7f68585e01c0          402         4800
__pthread_enable_asynccancel libpthread.so.0       7f68585e0160          402         4422
  __pthread_setspecific libpthread.so.0       7f68585de360            5          170
   __pthread_key_create libpthread.so.0       7f68585de230            1          208
    pthread_cond_signal libpthread.so.0       7f68585dd9c0          408        12144
      pthread_cond_wait libpthread.so.0       7f68585dd2a0          402        28819
__pthread_mutex_cond_lock libpthread.so.0       7f68585dbc10          401        10134
   pthread_mutex_unlock libpthread.so.0       7f68585db4c0          813        15523
__pthread_mutex_unlock_usercnt libpthread.so.0       7f68585db3c0          402         7638
     pthread_mutex_lock libpthread.so.0       7f68585d9d40          816        24480
                  frexp       libm.so.6       7f6858a2fb80           10          230
_ZNSt18condition_variable10notify_oneEv  libstdc++.so.6       7f6858dc57b0          408         2448
_ZNSt18condition_variable4waitERSt11unique_lockISt5mutexE  libstdc++.so.6       7f6858dc5790          402         2807
                  _Znam  libstdc++.so.6       7f6858da1280          306          306
    _ZnwmRKSt9nothrow_t  libstdc++.so.6       7f6858da1230            5           85
                  _Znwm  libstdc++.so.6       7f6858da11d0          306         3366
    __cxa_guard_release  libstdc++.so.6       7f6858da0fb0            1           15
    __cxa_guard_acquire  libstdc++.so.6       7f6858da0e30            1           30
                 _ZdaPv  libstdc++.so.6       7f6858d9f350          306          306
                 _ZdlPv  libstdc++.so.6       7f6858d9f320          306          306
  pthread_cond_wait@plt  libstdc++.so.6       7f6858d995c0          402          402
               free@plt  libstdc++.so.6       7f6858d983b0          306          306
             _ZdlPv@plt  libstdc++.so.6       7f6858d97cc0          306          306
             malloc@plt  libstdc++.so.6       7f6858d97af0          311          311
pthread_cond_signal@plt  libstdc++.so.6       7f6858d97760          408          408
              _Znwm@plt  libstdc++.so.6       7f6858d97690          306          306
     __gmpn_invert_limb    libgmp.so.10       7f685911f4c0      7863736    314258072
           __gmpn_copyi    libgmp.so.10       7f685911f286     16643683    583194476
    __gmpn_sbpi1_div_qr    libgmp.so.10       7f6859114c20      7601571   8898919208
         __gmpn_tdiv_qr    libgmp.so.10       7f68590f90f0     17167669   4596172351
    __gmpn_mul_basecase    libgmp.so.10       7f68590eea00     16511133  13498147724
             __gmpn_mul    libgmp.so.10       7f68590e8cc0     16511309    657816087
        __gmpn_divrem_2    libgmp.so.10       7f68590e7980       262109     30921727
          __gmpn_rshift    libgmp.so.10       7f68590e6c80      8878903   1226102154
          __gmpn_lshift    libgmp.so.10       7f68590e6a60     47556176   4269921400
        __gmpn_submul_1    libgmp.so.10       7f68590e6210    150456860  17250790914
        __gmpn_addmul_1    libgmp.so.10       7f68590e6100    395819124  99043949451
           __gmpn_sub_n    libgmp.so.10       7f68590e5b10     44394268   4716361790
           __gmpn_add_n    libgmp.so.10       7f68590e5670      6910288    580606452
    _Z13_ntl_IsFinitePd       IDASH2017             467670           20          280
_Z12_ntl_gmulmodP17_ntl_gbigint_bodyS0_S0_PS0_       IDASH2017             45ab80      1179374     49257602
_Z9_ntl_gmulP17_ntl_gbigint_bodyS0_PS0_       IDASH2017             459320      1179318     98903464
_Z9_ntl_gmodP17_ntl_gbigint_bodyS0_PS0_       IDASH2017             458870     15989671     47967820
